ID,Name,Condition,State,Price
1,good1,C1,S1,0.01
1,good1,C1,S1,0.02
1,good1,C1,S1,0.03
1,good1,C1,S1,0.04
1,good1,C1,S1,0.05
1,good1,C1,S1,0.06
1,good1,C1,S1,0.07
1,good1,C1,S1,0.08
1,good1,C1,S1,0.09
1,good1,C1,S1,0.1
1,good1,C1,S1,0.11
1,good1,C1,S1,0.12
1,good1,C1,S1,0.13
1,good1,C1,S1,0.14
1,good1,C1,S1,0.15
1,good1,C1,S1,0.16
1,good1,C1,S1,0.17
1,good1,C1,S1,0.18
1,good1,C1,S1,0.19
1,good1,C1,S1,0.2
6,good6,C6,S6,1.5
3,good3,C2,S2,3.8
3,good3,C3,S3,5.0
7,good7,C7,S7,5.5
13,good13,C13,S13,8.12
2,good2,C2,S2,8.5
9,good9,C8,S9,9.1
2,good2,C1,S2,9.3
8,good8,C8,S8,9.8
2109,Fable,C23,S86,10.0
872752105,Science fiction,C24,S49,10.01
72169,Fantasy,C98,S50,10.02
9,Fairy tale,C51,S00,10.03
6727,Fantasy,C72,S84,10.04
70,Folklore,C24,S67,10.05
3705,Science fiction,C82,S41,10.06
41043130,Suspense/Thriller,C38,S60,10.07
270726,Narrative nonfiction,C27,S16,10.08
81840266,Humor,C66,S00,10.09
772053,Fantasy,C88,S05,10.1
74196362,Fiction narrative,C33,S82,10.11
776,Fairy tale,C21,S70,10.12
0,Fantasy,C12,S21,10.13
339196711,Humor,C71,S12,10.14
6,Fiction narrative,C87,S75,10.15
664233,Essay,C86,S45,10.16
269,Comic/Graphic Novel,C58,S30,10.17
256,Legend,C66,S14,10.18
479715788,Fiction narrative,C76,S17,10.19
323783637,Speech,C50,S76,10.2
52804896,Tall tale,C42,S40,10.21
501991,Folklore,C44,S42,10.22
16,Essay,C01,S85,10.23
84318,Fairy tale,C66,S03,10.24
4135288,Western,C54,S40,10.25
270407,Historical fiction,C62,S52,10.26
796,Science fiction,C14,S81,10.27
957,Tall tale,C54,S34,10.28
27422,Metafiction,C61,S20,10.29
9901,Suspense/Thriller,C51,S36,10.3
58184,Short story,C47,S52,10.31
990606175,Science fiction,C96,S84,10.32
57514,Textbook,C22,S04,10.33
471184009,Biography/Autobiography,C78,S87,10.34
2639,Crime/Detective,C77,S01,10.35
58811,Fanfiction,C84,S59,10.36
32932309,Fiction in verse,C03,S52,10.37
221234,Metafiction,C53,S88,10.38
63281144,Reference book,C29,S76,10.39
9316,Textbook,C24,S86,10.4
34012,Crime/Detective,C94,S24,10.41
348030,Realistic fiction,C80,S13,10.42
296,Fiction in verse,C52,S43,10.43
11272011,Reference book,C13,S02,10.44
62061037,Science fiction,C21,S95,10.45
645787,Western,C25,S85,10.46
80048,Textbook,C35,S07,10.47
566603,Reference book,C28,S96,10.48
3,Narrative nonfiction,C03,S38,10.49
63,Metafiction,C02,S71,10.5
2,Essay,C83,S04,10.51
2,Fanfiction,C18,S81,10.52
84,Realistic fiction,C24,S30,10.53
34,Fanfiction,C14,S38,10.54
5657831,Horror,C01,S33,10.55
395630807,Folklore,C11,S23,10.56
2971,Short story,C76,S12,10.57
54416044,Crime/Detective,C57,S25,10.58
2,Fiction in verse,C47,S67,10.59
38156,Realistic fiction,C90,S46,10.6
70,Fiction in verse,C22,S55,10.61
